"Region","integration","cumulative"
"1","Region","integration","cumulative"
"439","Region9","0.0399891428969892","240"
"440","Region9","0.0399497003463166","240"
"441","Region9","0.0399440628417201","240"
"442","Region9","0.0399333816393483","240"
"443","Region9","0.039593835059633","240"
"444","Region9","0.0395096537104774","240"
"445","Region9","0.0394847706227303","239"
"446","Region9","0.0392464200188238","240"
"447","Region9","0.0392298091955807","240"
"448","Region9","0.039091504523789","240"
"449","Region9","0.0389836112633002","240"
"450","Region9","0.0384060016671112","240"
"451","Region9","0.0383959017875964","239"
"452","Region9","0.0382426232225598","239"
"453","Region9","0.0380676113893055","239"
"454","Region9","0.0380402475454556","239"
"455","Region9","0.0380084422507293","240"
"456","Region9","0.037933766025538","239"
"457","Region9","0.0378711331772087","238"
"458","Region9","0.0377002257435381","238"
"459","Region9","0.0372186706240064","237"
"460","Region9","0.0368226547426868","237"
"461","Region9","0.0367522939417985","237"
"462","Region9","0.0364972396634212","236"
"463","Region9","0.0364745920422994","236"
"464","Region9","0.0360780601649098","236"
"465","Region9","0.0360450145310309","235"
"466","Region9","0.0359206356216119","236"
"467","Region9","0.0358420917355711","236"
"468","Region9","0.0356107676991584","236"
"469","Region9","0.0354772640972249","236"
"470","Region9","0.0354740833042997","236"
"471","Region9","0.0353480868347451","236"
"472","Region9","0.0352139766109595","235"
"473","Region9","0.0350296675926359","235"
"474","Region9","0.0349398550843783","234"
"475","Region9","0.0348560588478365","234"
"476","Region9","0.0348360146010128","234"
"477","Region9","0.0348255216295046","235"
"478","Region9","0.0348067183535825","235"
"479","Region9","0.0340562460985654","234"
"480","Region9","0.0340154102334458","234"
"481","Region9","0.0338910361680603","234"
"482","Region9","0.0337109397104855","233"
"483","Region9","0.0334974353397453","233"
"484","Region9","0.0331791588843298","233"
"485","Region9","0.0330365527125533","233"
"486","Region9","0.0325388674531079","232"
"487","Region9","0.0323362612190812","232"
"488","Region9","0.0319712891768051","233"
"489","Region9","0.0319699073791024","233"
"490","Region9","0.0317337885968768","233"
"491","Region9","0.0316870335863285","233"
"492","Region9","0.0315088108418665","233"
"493","Region9","0.0313870642548096","232"
"494","Region9","0.0311327775490075","233"
"495","Region9","0.0310945413845236","233"
"496","Region9","0.030807081327013","233"
"497","Region9","0.0304367875932331","233"
"498","Region9","0.0303935125021439","233"
"499","Region9","0.0302824346616993","233"
"500","Region9","0.030275932885079","234"
"501","Region9","0.0296062509501305","233"
"502","Region9","0.0295072141145393","233"
"503","Region9","0.0293363990366315","233"
